Timestamp,Temperature,Humidity,Pressure,Rotation
0,23.72,44.91,1013.23,1200
1,24.05,44.9,1013.3,1203
2,24.09,44.81,1013.25,1202
3,24.03,44.87,1013.15,1199
4,24.14,44.92,1013.25,1203
5,24.09,45.41,1013.31,1211
6,24.07,45.26,1013.15,1207
7,24.07,44.96,1013.29,1204
8,23.86,44.74,1013.26,1205
9,24.11,45.08,1013.23,1195
10,23.83,44.95,1013.27,1205
11,23.87,45.1,1013.2,1201
12,24.06,44.73,1013.2,1199
13,24.05,45.03,1013.17,1204
14,24.19,45.19,1013.23,1189
15,24.04,44.82,1013.24,1207
16,24.08,44.86,1013.16,1198
17,24.01,44.8,1013.35,1197
18,24.09,44.9,1013.3,1200
19,24.07,44.76,1013.25,1198
20,24.08,44.85,1013.31,1201
21,23.85,44.77,1013.25,1193
22,23.96,44.61,1013.16,1196
23,23.98,44.99,1013.28,1200
24,24.14,45.03,1013.32,1208
25,24.18,44.95,1013.26,1202
26,24.13,45.23,1013.3,1187
27,24.15,45.37,1013.22,1193
28,24.05,45.02,1013.25,1199
29,23.95,45.38,1013.22,1199
30,23.95,45.0,1013.31,1200
31,24.12,44.83,1013.19,1201
32,23.99,44.93,1013.2,1191
33,24.14,45.12,1013.14,1197
34,23.86,45.35,1013.29,1196
35,24.01,44.91,1013.29,1200
36,24.05,44.81,1013.23,1210
37,24.07,44.98,1013.2,1193
38,24.05,45.14,1013.32,1193
39,24.16,44.98,1013.28,1199
40,24.06,44.93,1013.28,1199
41,24.11,44.93,1013.28,1201
42,24.05,45.1,1013.21,1204
43,24.01,45.3,1013.25,1203
44,24.05,45.18,1013.33,1204
45,23.92,44.88,1013.34,1207
46,24.01,44.93,1013.23,1195
47,24.01,44.93,1013.31,1201
48,24.06,45.01,1013.1,1198
49,24.03,44.67,1013.31,1206
50,23.78,44.71,1013.29,1201
51,24.08,45.16,1013.27,1202
52,24.02,45.36,1013.2,1207
53,24.27,44.52,1013.24,1199
54,23.96,44.7,1013.27,1190
55,23.95,44.78,1013.27,1199
56,24.15,44.69,1013.22,1199
57,24.01,44.67,1013.25,1202
58,24.02,45.14,1013.21,1196
59,24.14,44.95,1013.15,1200
60,24.24,44.83,1013.26,1206
61,24.21,44.9,1013.29,1207
62,24.04,45.01,1013.21,1193
63,24.21,45.17,1013.21,1200
64,23.93,44.99,1013.24,1200
65,24.13,45.02,1013.26,1200
66,24.19,45.17,1013.26,1198
67,24.08,45.06,1013.27,1209
68,24.05,45.24,1013.3,1200
69,24.0,45.28,1013.28,1191
70,24.05,44.89,1013.17,1199
71,24.09,44.85,1013.26,1191
72,23.98,44.78,1013.16,1208
73,24.11,44.98,1013.3,1198
74,24.01,44.52,1013.11,1202
75,24.1,44.95,1013.24,1197
76,24.15,45.38,1013.33,1201
77,23.91,44.86,1013.24,1201
78,24.02,44.9,1013.26,1200
79,24.08,44.8,1013.29,1204
80,24.02,45.1,1013.22,1199
81,24.01,44.94,1013.23,1196
82,24.09,45.03,1013.3,1194
83,24.11,44.98,1013.15,1195
84,23.96,44.93,1013.2,1196
85,24.14,44.81,1013.23,1195
86,24.14,44.69,1013.25,1200
87,24.13,44.8,1013.32,1202
88,24.23,44.88,1013.22,1195
89,24.08,44.8,1013.24,1196
90,24.04,44.99,1013.2,1197
91,24.09,44.63,1013.27,1200
92,24.15,44.87,1013.22,1194
93,24.1,44.81,1013.23,1195
94,24.13,44.7,1013.2,1194
95,24.0,44.77,1013.27,1191
96,24.16,44.76,1013.28,1197
97,24.11,44.92,1013.26,1206
98,24.03,44.88,1013.32,1194
99,24.06,44.54,1013.3,1193
100,24.11,44.62,1013.27,1201
101,24.23,44.87,1013.22,1196
102,24.26,45.05,1013.18,1202
103,24.0,44.71,1013.4,1190
104,24.15,44.97,1013.26,1196
105,24.17,44.88,1013.28,1208
106,24.13,44.88,1013.26,1205
107,24.02,44.76,1013.17,1215
108,23.94,44.73,1013.23,1197
109,24.01,44.88,1013.25,1194
110,24.14,44.68,1013.32,1201
111,24.12,44.45,1013.28,1205
112,24.1,44.99,1013.21,1196
113,24.22,45.08,1013.26,1201
114,24.2,45.01,1013.26,1203
115,23.99,44.63,1013.19,1197
116,24.19,44.98,1013.32,1200
117,24.14,44.64,1013.27,1201
118,24.07,45.01,1013.3,1199
119,24.22,44.98,1013.24,1195
120,24.06,44.79,1013.26,1203
121,24.21,44.94,1013.18,1203
122,24.17,45.17,1013.31,1202
123,24.13,44.91,1013.24,1188
124,24.11,45.12,1013.26,1206
125,24.27,44.89,1013.24,1205
126,24.23,44.96,1013.28,1202
127,24.12,44.59,1013.27,1203
128,24.02,44.86,1013.26,1200
129,24.16,44.97,1013.33,1195
130,24.18,44.59,1013.31,1198
131,24.22,44.78,1013.22,1201
132,23.92,44.76,1013.21,1199
133,23.97,44.49,1013.13,1197
134,24.11,44.81,1013.31,1202
135,24.07,44.95,1013.26,1191
136,24.02,44.74,1013.27,1206
137,24.06,44.6,1013.19,1195
138,24.12,44.78,1013.22,1193
139,24.18,44.58,1013.33,1203
140,24.15,44.99,1013.24,1193
141,24.1,44.6,1013.3,1187
142,24.26,45.04,1013.26,1192
143,24.2,44.92,1013.15,1196
144,24.08,44.82,1013.27,1194
145,24.15,44.89,1013.36,1199
146,24.09,44.76,1013.25,1200
147,24.21,44.87,1013.19,1202
148,24.13,44.66,1013.19,1200
149,24.1,44.71,1013.19,1198
150,24.21,44.76,1013.19,1206
151,24.25,44.98,1013.25,1197
152,24.21,44.84,1013.29,1197
153,24.05,45.12,1013.24,1195
154,24.22,44.83,1013.22,1206
155,24.02,44.94,1013.26,1207
156,24.16,44.95,1013.22,1203
157,24.43,44.89,1013.2,1199
158,24.09,45.04,1013.36,1195
159,24.02,44.77,1013.29,1202
160,24.13,44.83,1013.26,1203
161,24.23,45.02,1013.14,1204
162,24.28,44.85,1013.3,1206
163,24.26,44.87,1013.16,1198
164,24.02,44.94,1013.3,1199
165,24.08,44.62,1013.21,1198
166,24.12,44.88,1013.31,1198
167,24.11,44.89,1013.22,1199
168,24.16,44.72,1013.32,1196
169,24.25,44.98,1013.32,1198
170,24.14,44.63,1013.3,1197
171,24.28,44.59,1013.24,1205
172,24.06,44.75,1013.28,1209
173,24.3,44.82,1013.34,1201
174,24.07,44.8,1013.17,1194
175,24.04,44.96,1013.25,1201
176,24.14,44.68,1013.3,1203
177,24.17,44.94,1013.3,1201
178,24.18,44.83,1013.29,1202
179,24.22,44.48,1013.21,1204
180,24.1,44.3,1013.2,1195
181,24.25,44.86,1013.28,1201
182,24.35,44.65,1013.34,1201
183,24.22,45.05,1013.24,1202
184,24.21,45.14,1013.31,1204
185,24.27,44.83,1013.24,1201
186,24.36,44.78,1013.23,1215
187,24.19,45.03,1013.32,1197
188,23.98,44.66,1013.24,1209
189,24.33,44.65,1013.21,1203
190,24.31,44.89,1013.28,1195
191,24.28,45.04,1013.26,1202
192,24.12,44.91,1013.22,1192
193,24.25,44.67,1013.18,1195
194,24.32,45.15,1013.24,1205
195,24.14,44.65,1013.26,1196
196,24.35,44.87,1013.28,1201
197,24.2,44.85,1013.31,1196
198,24.07,44.81,1013.27,1192
199,24.29,44.7,1013.22,1196
200,24.22,44.75,1013.22,1200
201,24.33,44.64,1013.25,1200
202,24.18,44.8,1013.21,1205
203,24.32,44.65,1013.28,1197
204,24.3,44.91,1013.27,1195
205,24.15,44.66,1013.26,1210
206,24.09,44.74,1013.24,1194
207,24.19,44.98,1013.33,1203
208,24.22,44.65,1013.2,1198
209,24.28,45.14,1013.28,1197
210,23.98,44.6,1013.22,1201
211,24.24,44.89,1013.22,1198
212,24.07,44.9,1013.19,1194
213,24.25,44.49,1013.21,1196
214,23.89,44.74,1013.21,1204
215,24.12,44.82,1013.22,1197
216,24.2,44.44,1013.35,1199
217,24.13,44.56,1013.21,1192
218,24.18,44.64,1013.19,1197
219,24.31,44.52,1013.29,1197
220,24.25,44.73,1013.2,1206
221,24.28,44.55,1013.22,1199
222,24.32,44.25,1013.23,1199
223,24.4,44.7,1013.22,1190
224,24.17,44.87,1013.21,1200
225,24.09,45.12,1013.22,1201
226,24.3,44.94,1013.27,1196
227,24.11,44.43,1013.21,1191
228,24.27,44.65,1013.25,1196
229,24.22,44.81,1013.24,1195
230,24.25,44.78,1013.24,1199
231,24.21,44.6,1013.22,1201
232,24.26,44.51,1013.21,1203
233,24.09,45.13,1013.25,1199
234,24.31,44.59,1013.24,1202
235,24.17,44.4,1013.25,1207
236,24.27,44.79,1013.25,1210
237,24.13,44.8,1013.19,1203
238,24.36,44.51,1013.36,1206
239,24.3,44.46,1013.25,1199
240,24.17,44.58,1013.21,1199
241,24.41,44.64,1013.32,1196
242,24.22,44.62,1013.19,1200
243,24.15,44.73,1013.23,1193
244,24.02,44.69,1013.28,1198
245,24.38,44.65,1013.21,1205
246,24.11,44.51,1013.19,1208
247,24.38,44.51,1013.26,1211
248,24.31,44.63,1013.28,1204
249,24.33,44.65,1013.2,1205
250,24.28,44.6,1013.21,1208
251,24.14,44.59,1013.21,1201
252,24.08,44.59,1013.28,1203
253,24.34,44.46,1013.18,1206
254,24.09,44.92,1013.18,1197
255,24.36,44.65,1013.35,1208
256,24.2,44.87,1013.22,1193
257,24.09,44.6,1013.26,1200
258,24.31,44.62,1013.14,1197
259,24.27,44.63,1013.27,1192
260,24.33,44.52,1013.16,1193
261,24.35,44.76,1013.11,1202
262,24.21,44.56,1013.26,1191
263,24.34,44.77,1013.33,1190
264,24.21,44.6,1013.26,1201
265,24.13,44.66,1013.23,1202
266,24.34,44.33,1013.18,1209
267,24.24,44.79,1013.25,1197
268,24.37,44.71,1013.2,1198
269,24.17,44.67,1013.27,1201
270,24.4,44.62,1013.21,1200
271,24.26,44.74,1013.27,1201
272,24.54,44.57,1013.26,1194
273,24.14,44.52,1013.23,1196
274,24.25,44.15,1013.17,1202
275,24.43,44.37,1013.2,1200
276,24.36,44.65,1013.29,1196
277,24.29,44.73,1013.28,1200
278,24.17,44.76,1013.33,1203
279,24.11,44.55,1013.26,1196
280,24.41,44.74,1013.25,1201
281,24.13,44.74,1013.27,1189
282,24.46,44.74,1013.22,1201
283,24.17,44.99,1013.22,1201
284,24.25,44.68,1013.24,1199
285,24.17,44.34,1013.27,1207
286,24.38,44.59,1013.27,1199
287,24.25,44.69,1013.32,1202
288,24.26,44.29,1013.19,1197
289,24.16,44.49,1013.29,1202
290,24.2,44.34,1013.19,1196
291,24.26,44.78,1013.33,1192
